filename,title,duration,bpm,beat_strength,energy,energy_variance,brightness,contrast,dynamic_range,onset_rate
5  TINT - Travis Scott.m4a,5  TINT   Travis Scott,197.71791383219954,143.5546875,0.2178940623998642,1.0,0.145331010222435,0.2259230341190427,23.134919591350577,0.6098540425300598,1.937103181884909
NEW MAGIC WAND - Tyler  The Creator.m4a,NEW MAGIC WAND   Tyler  The Creator,195.3364172335601,143.5546875,0.23210527002811432,1.0,0.11248806118965149,0.22876195440910596,23.74786477987198,0.5078247785568237,3.6193967822940736
Backseat Freestyle - Kendrick Lamar.m4a,Backseat Freestyle   Kendrick Lamar,284.5837641723356,151.99908088235293,0.1940547078847885,0.580083467066288,0.07430607825517654,0.21810651844580511,23.049513530613755,0.26413384079933167,2.645969639870268
Drip or Drown - Gunna.m4a,Drip or Drown   Gunna,126.18739229024943,117.45383522727273,0.381178617477417,1.0,0.17492060363292694,0.15163799746625517,23.727805408749845,0.6386157274246216,4.200102644017895
Mask Off - Future.m4a,Mask Off   Future,289.5528344671202,151.99908088235293,0.27077516913414,1.0,0.1514366716146469,0.12293311052753265,22.009929663910253,0.54326331615448,3.3085498947473937
"Into Your Arms (feat. Ava Max) - Witt Lowry, Ava Max.m4a","Into Your Arms (feat. Ava Max)   Witt Lowry, Ava Max",199.87736961451247,86.1328125,0.32645201683044434,1.0,0.10204140096902847,0.22898084942190497,22.60279958675002,0.4155943989753723,3.867371286158225
"Neon Guts (feat. Pharrell Williams) - Lil Uzi Vert, Pharrell Williams.m4a","Neon Guts (feat. Pharrell Williams)   Lil Uzi Vert, Pharrell Williams",259.4597732426304,117.45383522727273,0.2800367772579193,1.0,0.23967547714710236,0.21978103186186485,22.895987575413088,0.7935677766799927,2.882913180150349
In Da Club - 50 Cent.m4a,In Da Club   50 Cent,247.94267573696146,123.046875,0.28909075260162354,0.7041816413402557,0.07846375554800034,0.2015492370702578,22.251587318316304,0.34519582986831665,5.0777866144174935
"Low Life (feat. The Weeknd) - Future, The Weeknd.m4a","Low Life (feat. The Weeknd)   Future, The Weeknd",323.3378684807256,143.5546875,0.2531963884830475,1.0,0.13975094258785248,0.13510422404893233,23.216240361842214,0.5832231044769287,2.8422281754937164
"Who Dat Boy (feat. A$AP Rocky) - Tyler  The Creator, A$AP Rocky.m4a","Who Dat Boy (feat. A$AP Rocky)   Tyler  The Creator, A$AP Rocky",205.11201814058956,117.45383522727273,0.23430955410003662,1.0,0.185764878988266,0.21279915573181743,24.11619769727312,0.7576395869255066,3.2908846888598013
Magic - Yung Gravy.m4a,Magic   Yung Gravy,176.00725623582767,107.666015625,0.39800092577934265,1.0,0.20001110434532166,0.2248940222070306,22.723064354861616,0.7330829501152039,4.227098449868074
Praise God - Kanye West.m4a,Praise God   Kanye West,226.71963718820862,117.45383522727273,0.33024585247039795,1.0,0.18903130292892456,0.18533289362897726,23.0037902715508,0.697944164276123,3.4094973403574356
"Realer N Realer - Future, Juice WRLD.m4a","Realer N Realer   Future, Juice WRLD",172.40816326530611,151.99908088235293,0.3638487160205841,1.0,0.14945343136787415,0.2146191275798184,23.810011354006637,0.6033897995948792,4.529947916666667
Day 'N' Nite (Nightmare) - Kid Cudi.m4a,Day 'N' Nite (Nightmare)   Kid Cudi,221.4719274376417,135.99917763157896,0.2748921811580658,1.0,0.15241684019565582,0.15468850058803754,22.33144262121015,0.6705499887466431,3.521891054204236
Gassed Up - Nebu Kiniza.m4a,Gassed Up   Nebu Kiniza,195.58167800453515,151.99908088235293,0.30979400873184204,0.9219619631767273,0.1207391694188118,0.19505694074463426,23.221171937439145,0.3408922851085663,3.8091502619316158
"The Motto - Drake, Lil Wayne.m4a","The Motto   Drake, Lil Wayne",242.23056689342403,99.38401442307692,0.298960417509079,0.17626874148845673,0.018523799255490303,0.278539354769294,22.252001701098123,0.0887012854218483,3.104480205138037
"Love Hurts (feat. Toosii) - Lil Tjay, Toosii.m4a","Love Hurts (feat. Toosii)   Lil Tjay, Toosii",246.89777777777778,92.28515625,0.2230004519224167,0.3521896153688431,0.051023755222558975,0.1796665625110551,24.782798541800265,0.5629778504371643,2.993141561059908
No Heart - YNW Melly.m4a,No Heart   YNW Melly,230.2490702947846,103.359375,0.18647313117980957,1.0,0.18296146392822266,0.188045587337522,23.993606362346277,0.6919829845428467,2.753539891337233
Swang - Rae Sremmurd.m4a,Swang   Rae Sremmurd,228.69333333333333,143.5546875,0.19593949615955353,1.0,0.1538475900888443,0.15115855283833488,23.406023746480816,0.6487160921096802,2.348122667910448
"The Jungle Book - Trippie Redd, Lil Wop.m4a","The Jungle Book   Trippie Redd, Lil Wop",160.61242630385487,172.265625,0.22346827387809753,1.0,0.20565344393253326,0.25325508010220404,22.06811912234231,0.7215056419372559,3.3683570595995374
